ID_of_the_statement	label	statement	subject	speaker	speakers_job_title	state_info	party_affiliation	barely_true_counts	false_counts	half_true_counts	mostly_true_counts	pants_on_fire_counts	venue
9123.json	barely-true	Says President Barack Obamas acceptance of an Islamic order and gold medal was unconstitutional.	foreign-policy,legal-issues	facebook-posts	Social media posting		none	14	18	15	11	36	viral posts on the Internet
8348.json	mostly-true	In 2010, the non-partisan Government Accountability Office found that only 6.5 percent of the U.S.-Mexico border was under full control of the Border Patrol.	immigration	lamar-smith	Congressman	Texas	republican	2	5	1	3	0	a flier mailed to constituents
7960.json	half-true	Not one tax has been raised since Ive been governor.	taxes	chris-christie	Governor of New Jersey	New Jersey	republican	10	17	27	19	8	an interview on the "Ask The Governor" monthly radio call-in program
2857.json	true	Demand for transportation choice is on the rise, with 14 percent more Ohioans riding passenger trains over the past year.	federal-budget,infrastructure,transportation	ohio-department-transportation		Ohio	none	0	0	0	0	0	a news release
6771.json	true	A poll conducted in Egypt revealed that 80 percent of Egyptians oppose receiving foreign aid from the United States.	federal-budget,foreign-policy	barry-hinckley		Rhode Island	republican	0	4	1	2	2	a story on 630WPRO.com
1149.json	false	We spend twice as much per capita on health care as any other nation on Earth.	health-care	bernie-s	U.S. Senator	Vermont	independent	18	12	22	41	0	an appearance on the Rachel Maddow Show
1479.json	false	Says the Texas Education Agency follows up to make sure undocumented immigrants paying in-state tuition at Texas colleges are applying for permanent residency.	immigration	rick-perry	Governor	Texas	republican	30	30	42	23	18	a debate
8531.json	true	Says 18 states and the District of Columbia have voted Democratic in six consecutive presidential elections.	elections	george-will	Columnist	Maryland	columnist	7	6	3	5	1	comments on Fox's "Fox News Sunday"
8473.json	false	Hidden in the healthcare.gov code is language that means users waive any reasonable right to privacy of your personal information.	health-care,privacy,technology	joe-barton	U.S. Representative	Texas	republican	3	1	0	0	0	a Fox News interview
1509.json	mostly-true	"One of the most recent polls said 75 percent of the American people have said either don't do anything or start over (on health care reform)."	health-care	jon-kyl	U.S. Senator	Arizona	republican	0	2	4	3	0	an interview on Fox News
3749.json	barely-true	Most military experts say there is anywhere between 25 and 30 members of al Qaeda in Afghanistan.	afghanistan	david-cicilline	mayor of Providence	Rhode Island	democrat	7	4	5	4	1	a radio interview
313.json	half-true	"The average American is working through the month of May just to pay off the government."	taxes	mike-huckabee	author	Arkansas	republican	12	5	9	3	4	a debate in Boca Raton.
12623.json	half-true	Says Kelly Ayotte stands with the Washington gun lobby. They fund her campaigns.	campaign-finance,guns,voting-record	americans-responsible-solutions			none	1	0	1	2	0	an ad
432.json	half-true	Barack Obama's network of small donors constitutes a "parallel public financing system."	ethics	barack-obama	President	Illinois	democrat	70	71	160	163	9	Washington, D.C.
7769.json	false	In Cranston, it costs $5,000 to $6,000 to send out community notifications on just one Level 3 sex offender.	children,crime,criminal-justice	peter-palumbo	State Representative	Rhode Island	democrat	3	1	1	0	0	a House Finance Committee hearing
5734.json	half-true	While the countrys economy was battered, nine states with no income tax actually grew jobs from 2001 to 2010.	income,jobs,states,taxes	bettylou-decroce			republican	0	0	1	0	0	n opinion column in the Gloucester County Times
10798.json	false	The United States is not building the aircraft, the long-range bombers, the additional aircraft carriers, the nuclear submarines.	military	marco-rubio	U.S. Senator	Florida	republican	33	24	32	35	5	a speech at the Iowa Faith and Freedom Summit
10857.json	false	Every year we spend roughly $500 billion on tax compliance. That is roughly the budget of our entire military, entirely wasted on tax compliance.	federal-budget,military,taxes	ted-cruz	Senator	Texas	republican	36	33	15	19	8	a roundtable with Texas businesses
4910.json	mostly-true	They say teachers only make on averagein New Jersey 60,000 dollars a year.They only work 180 days.	education	chris-christie	Governor of New Jersey	New Jersey	republican	10	17	27	19	8	a speech at Notre Dame's law school
2360.json	half-true	I can put 10,000 people to work. Electricians, plumbers, sheet metal workers -- by retrofitting all of the state buildings for energy independence or efficiency.	energy	roy-barnes	Attorney	Georgia	democrat	0	0	3	3	1	a campaign ad
2212.json	true	Exporters are using a federal loophole to deceptively sell products made from cat and dog fur to U.S. consumers.	trade	hank-johnson	U.S. Congressman	Georgia	democrat	3	0	4	3	0	a statement
4485.json	true	The city of Atlanta has either the highest or second-highest average water bills in the country.	taxes,water	carla-smith			none	0	0	0	0	0	a meeting
5128.json	barely-true	Mitt Romneys and Bain Capitals profits from KB Toys, which later went out of business, were described by the Boston Herald as disgusting.	candidates-biography,message-machine-2012	winning-our-future			none	2	2	3	1	0	the video, "When Mitt Romney Came to Town"
12922.json	barely-true	Roy Coopers refusal to do his job is costing taxpayers money.	ethics,legal-issues,public-service,states	pat-mccrory	Governor of North Carolina	North Carolina	republican	5	2	3	0	1	a press release
13269.json	mostly-true	In exchange for five minutes with Bill Clinton, the government of Qatar was going to give $1 million to the Clinton Foundation.	foreign-policy	mike-pence	Governor	Indiana	republican	8	10	12	5	0	comments on "Meet the Press"
1506.json	true	"Speaker Rubio supported gun restrictions that included background checks and waiting periods."	guns	charlie-crist		Florida	democrat	15	9	20	19	2	a news release
11348.json	mostly-true	Salaries of Austin residents who dont work for city government have not been going up 3 percent a year for the last several years.	city-budget,city-government,economy,jobs	don-zimmerman	Computer systems	Texas	republican	2	0	0	1	0	an Austin City Council meeting
1791.json	half-true	She (Kagan) took money from Goldman Sachs just like her boss, Obama.	campaign-finance,kagan-nomination,pundits,supreme-court	michael-savage			none	0	0	1	0	1	his website
9204.json	false	Did you know that in 2013 over 50 percent of all babies born in Oregon were Hispanic?	children,diversity,education	betsy-miller-jones	Oregon School Boards Association executive director	Oregon	none	0	1	0	0	0	a newsletter
3010.json	true	We are one of only two states to have eight consecutive months of declining unemployment. Twenty-one states had increased unemployment last month. Ours went down.	economy,job-accomplishments,jobs	ted-strickland	Former Ohio governor	Ohio	democrat	2	6	7	4	1	an interview with The Plain Dealer
562.json	false	Barack Obama wants to "unilaterally disarm our nation."	military	chain-email			none	11	43	8	5	105	a chain e-mail
2860.json	false	On an earmark moratorium.	federal-budget	kay-bailey-hutchison	U.S. Senator	Texas	republican	2	4	4	3	0	a statement
2828.json	false	Milwaukees problems include 52 percent black male unemployment.	economy,jobs	marvin-pratt	Former Acting Mayor of Milwaukee	Wisconsin	none	0	1	0	0	0	a TV interview
5145.json	barely-true	Rob Cornilles has disputed for two years a news story that said he said he would cut Social Security and Medicare programs before trimming the U.S. defense budget.	medicare,social-security	rob-cornilles	consultant	Oregon	republican	1	1	3	1	1	a debate
3004.json	false	Says Texas Railroad Commissioner Michael Williams has attended more than 150 tea party gatherings.	bipartisanship,candidates-biography	dean-wright	Small businessman	Texas	none	0	1	0	0	0	a newspaper article.
2399.json	false	Harry Reid has voted to give special tax breaks to illegal aliens.	immigration,message-machine,taxes	sharron-angle	Republican nominee for Nevada U.S. Senate seat	Nevada	republican	3	1	1	0	0	a campaign commerical
10649.json	false	Job growth in the United States is now at the fastest pace in this countrys history.	economy,jobs	david-simas	White House aide	Washington, D.C.	democrat	0	1	0	0	0	an interview on CNN's "New Day"
13279.json	half-true	When asked about equal pay for women, (Rubios) quote was that it was a waste of time.	labor,women	patrick-murphy		Florida	democrat	2	1	4	5	0	a U.S. Senate debate
11283.json	mostly-true	Atlanta has issued an increasing number of citations - and collected an increasing amount of revenue - since Mayor Kasim Reed took office in 2010.	crime,public-safety	reader-email			none	0	0	0	1	1	an email from a reader
10865.json	true	Says he was known as Veto Corleone for cutting spending as Florida governor.	state-budget	jeb-bush		Florida	republican	17	5	17	24	2	a meeting with business leaders in Portsmouth, N.H.
10185.json	true	The last time Republican U.S. Senate candidates beat more than two (incumbents) was 1980.	elections	sean-spicer	Communications Director for the Republican National Committee		republican	0	0	0	0	1	comments on CNN's "State of the Union"
12373.json	true	On how to respond to Puerto Ricos debt crisis.	debt,deficit	sean-duffy	Member of the U.S. House	Wisconsin	republican	5	1	6	1	2	a radio ad
4700.json	barely-true	The State of Rhode Island has the worst state-funded pension in the country.	deficit,pensions,state-budget,state-finances	helen-glover	talk show host, WHJJ	Rhode Island	talk-show-host	1	1	0	0	0	an introduction to a radio interview
12267.json	half-true	In 2009 Hillary Clinton was at the State Department working with U.S. corporations to pressure Haiti not to raise the minimum wage to 61 cents an hour from 24 cents.	foreign-policy,labor,workers	lee-camp	Host of Redacted Tonight with Lee Camp		talk-show-host	0	0	1	0	0	an episode of "Redacted Tonight"
10579.json	mostly-true	More than any Republican governor in the 2014 elections, I took a higher percentage of the Republican voteand yet I also carried independents by 12 points.	candidates-biography,elections,job-accomplishments,states	scott-walker	Milwaukee County Executive	Wisconsin	republican	26	41	32	40	11	an interview
9986.json	barely-true	After the 2012 redistricting, Wisconsin has competitive congressional districts.	redistricting	paul-ryan	U.S. Representative	Wisconsin	republican	19	6	16	14	2	a speech
336.json	true	"(John McCain) was even mentioned as a running mate with John Kerry."	elections	citizens-united-political-victory-fund		Washington, D.C.	republican	0	0	0	1	0	a TV ad
65.json	true	"I've cast a couple of 99-1 votes" and been the lone dissenter.	candidates-biography	fred-thompson	Actor	Tennessee	republican	1	4	3	3	0	a speech in Sioux City, Iowa
4603.json	false	Says hes never asked for more than inflationary budget increases in his 10 budgets as Milwaukee County sheriff	county-budget,criminal-justice	david-clarke-jr	Milwaukee County Sheriff	Wisconsin	democrat	3	5	2	1	0	a radio interview
10644.json	barely-true	Under New York Mayor Bill de Blasio, homicides are up by 20 percent, and subway delays have soared 45 percent.	crime,transportation	greg-gutfeld			republican	1	0	0	0	0	a commentary on Fox News.
300.json	mostly-true	"And delivered more tax relief than the other Republicans combined."	taxes	rudy-giuliani	Attorney	New York	republican	9	11	10	7	3	a TV ad
1805.json	barely-true	Says U.S. Rep. Lamar Smith supported the $700 billion Wall Street bailout in 2008, "but now he is standing in the way of reforms that would assure these bailouts would never happen again.	campaign-finance,economy,financial-regulation	lainey-melnick	Real estate broker	Texas	democrat	1	0	0	0	0	an e-mail blast
11300.json	half-true	#GradInsurance debacle is a DIRECT result of #ObamaCare. #MIZZOU has to break the law to do the right thing.	education,health-care	caleb-rowden	State representative	Missouri	republican	1	0	1	1	0	a tweet
6564.json	pants-fire	Says President Obama has waived the work requirement for welfare.	welfare	rick-santorum		Pennsylvania	republican	12	16	13	7	5	a convention speech
8253.json	mostly-true	7 out of 10 Oregon families living in poverty have at least one parent who works.	children,families,income,poverty,welfare	oregon-center-public-policy		Oregon 	organization	0	0	0	1	0	website materials 
9330.json	true	Ninety-seven percent of the time. Thats how often Mark Warner votes with President Obama.	message-machine-2014,voting-record	republican-party-virginia		Virginia	republican	2	0	0	0	1	a web ad.
2329.json	barely-true	Says Rick Perry is a 25-year incumbent.	candidates-biography,job-accomplishments	bill-white	Former mayor of Houston	Texas	democrat	2	3	5	7	3	a press release
12307.json	mostly-true	Says an array of statistics show that conditions in some parts of Baltimore rival that of the West Bank in Palestine, North Korea, and distressed cities in Nigeria, India, China and South Africa.	poverty,public-health	bernie-s	U.S. Senator	Vermont	independent	18	12	22	41	0	a speech
1475.json	half-true	The House passed a pay-as-you-go rule that said, "If you wanted to have an investment, an entitlement, etc., you had to pay for it."	federal-budget,stimulus	nancy-pelosi	House Minority Leader	California	democrat	3	7	11	2	3	a press conference
9402.json	true	The numbers make it clear that Georgia voters are increasingly taking advantage of early voting opportunities.	education	brian-kemp	Secretary of State	Georgia	republican	0	2	0	0	0	statement
3870.json	false	Says Ocean Spray is moving its Bordentown processing facility to Pennsylvania largely because of costs associated with the Regional Greenhouse Gas Initiative.	cap-and-trade,climate-change,economy	diane-allen	State Senator	New Jersey	republican	0	1	0	0	0	a press release
4544.json	true	On running for the presidency in 2012	elections	chris-christie	Governor of New Jersey	New Jersey	republican	10	17	27	19	8	
8955.json	true	Rhode Island is almost dead last among Northeastern states in the length of time first-degree murderers must spend in prison before theyre eligible for parole.	crime,criminal-justice,legal-issues,states	leonidas-raptakis	State Senator	Rhode Island	democrat	0	1	1	0	0	a news conference
1160.json	false	"All the really great programs in American history, Social Security, was done without Republicans. Medicare was done without Republican support until the last vote where they realized they had to get on board."	health-care,history,medicare	howard-dean	Democratic National Committee chairman	Vermont	democrat	1	4	1	2	0	an interview on the Rachel Maddow Show
6344.json	false	Diane Black voted to fund Obamacare.	congress,congressional-rules,health-care	lou-ann-zelenik	Businesswoman	Tennessee	republican	0	1	0	0	0	in an ongoing radio commercial.
7214.json	barely-true	Hurricane Sandy, the most destructive Atlantic storm ever.	climate-change,environment,weather	environment-new-jersey		New Jersey	none	1	0	0	0	0	an online post about global warming
8021.json	mostly-true	The Hispanic population in Gwinnett and Henry counties has increased by 153 percent and 339 percent, respectively, since 2000 while Republican presidential candidates are getting a smaller percentage of the vote in those counties.	elections	karl-rove		Texas	republican	2	5	2	8	0	an op-ed
9103.json	mostly-true	I was the most bipartisan senator in the United States Senate.	bipartisanship,voting-record	scott-brown		New Hampshire	republican	2	2	1	3	1	a meeting with Republicans in Portsmouth, N.H.
6482.json	barely-true	Says Gov. Scott Walker raises the pay of inmates, but we dont raise the pay of staff in our correctional institutions.	criminal-justice,income,state-finances,unions,workers	marty-beil			none	1	0	0	0	0	an interview
10525.json	false	The current debate over authorizing military action against the Islamic State would be the first time Congress would place limits on the commander-in-chiefs ability to be commander-in-chief.	congress,history,military,terrorism	adam-kinzinger	U.S. Representative	Illinois	republican	0	2	1	0	0	an appearance on ABC's 'This Week'
4308.json	mostly-true	U.S. debt is now equal to 100 percent of the GDP.	deficit,federal-budget	rob-portman	U.S. senator from Ohio	Ohio	republican	3	5	11	11	1	a news release
2536.json	barely-true	Tom Ganley supports a 23 percent national sales tax that would raise taxes on the middle class while giving a huge tax break to millionaires like himself.	taxes	ohio-democratic-party		Ohio	democrat	4	1	2	2	2	a statement posted on a website
2639.json	half-true	Pat Toomey still supports privatizing Social Security.	message-machine,market-regulation,social-security	joe-sestak	U.S. Representative	Pennsylvania	democrat	1	0	1	1	0	a campaign commercial
11314.json	true	The marijuana that kids are smoking today is not the same as the marijuana that Jeb Bush smoked 40 years ago.	drugs	carly-fiorina		California	republican	5	5	4	3	2	the CNN Republican debate
763.json	true	Barack Obama voted against born alive legislation in Illinois that was virtually identical to the federal law.	abortion	national-right-life-committee			none	1	2	1	0	0	a published piece on their Web site
12769.json	mostly-true	Says Trump shirts are made in Bangladesh, Trump suits in Mexico, Trump Vodka in the Netherlands, Trump crystal barware in Slovenia and his cufflinks and ties in China.	candidates-biography,corrections-and-updates,jobs	funny-or-die			none	0	0	0	1	0	a video shown at the Democratic National Convention
5094.json	false	Says President Barack Obama has opened up no new trade relationships with other nations.	economy,foreign-policy,new-hampshire-2012,trade	mitt-romney	Former governor	Massachusetts	republican	34	32	58	33	19	a Republican presidential debate in Manchester, N.H.
8525.json	true	Says taxpayer subsidy for the Oregon Convention Center hotel jumped $100 million in closed-door sessions	transparency	coalition-fair-budget-priorities		Oregon	organization	0	0	0	0	0	a website statement
2851.json	barely-true	Says you can buy four light bulbs for $1.99 at Walmart, while a single compact fluorescent lamp (CFL) costs $10 a pop.	energy,market-regulation	joe-barton	U.S. Representative	Texas	republican	3	1	0	0	0	a speech at The Heritage Foundation.
10618.json	mostly-true	(Jeb) Bush, not the State of Florida, decided which private emails to disclose.	transparency	american-bridge-21st-century			democrat	2	1	0	3	0	an online post
1307.json	true	"History tells us that job growth always lags behind economic growth."	economy	barack-obama	President	Illinois	democrat	70	71	160	163	9	remarks from the White House
10310.json	mostly-true	Bill Howell has been the consistent force behind every major tax increase in Virginia in the last decade.	taxes,voting-record	susan-stimpson		Virginia	republican	0	1	0	1	0	a news release.
7439.json	mostly-true	More than 9,000 Rhode Island voters used the Moderate Party master lever mechanism and they didnt have a single Moderate on their ballot.	elections	kenneth-block	businessman		republican	0	3	2	3	0	a television interview
6561.json	half-true	President Obama is attacking Paul Ryan on Medicare even though it is his administration with the help of Jim Langevin who cut $716 billion from Medicare.	medicare	michael-riley		Rhode Island	republican	2	1	1	0	0	a post on Riley’s Facebook campaign page
12570.json	pants-fire	Says Hillary Clinton has even deleted this record of total support (for the Trans-Pacific Partnership trade agreement) from her book.	candidates-biography,economy,foreign-policy,history,job-accomplishments,trade	donald-trump	President-Elect	New York	republican	63	114	51	37	61	a speech
828.json	false	"Obama says Iran is a 'tiny' country, 'doesn't pose a serious threat.'"	foreign-policy	john-mccain	U.S. senator	Arizona	republican	31	39	31	37	8	a TV ad airing in Florida
1861.json	pants-fire	Barbara Boxers worried about the weather instead of terrorism as the biggest threat to national security.	candidates-biography,environment,homeland-security,message-machine,terrorism	carly-fiorina		California	republican	5	5	4	3	2	a campaign commercial
2019.json	true	"We spend three times more on entitlements and debt services than we do on defense."	federal-budget,social-security	sarah-palin		Alaska	republican	9	19	9	6	6	a Facebook posting
10240.json	false	In the 2014 elections, the American people overwhelmingly said we dont want Obamacare and we dont want amnesty.	health-care,immigration,polls	ted-cruz	Senator	Texas	republican	36	33	15	19	8	an interview on Fox News
9206.json	half-true	Dan Patrick got caught not paying his taxes and pocketed his employees payroll taxes.	bankruptcy,candidates-biography,taxes	david-dewhurst	Lieutenant governor	Texas	republican	8	8	10	5	5	a video ad
12488.json	barely-true	Says Merrick Garland authored an opinion that resulted in the release of 17 Guantanamo Bay prisoners who were part of a group of violent Islamist extremists the State Department had designated as terrorists.	foreign-policy,military,supreme-court,terrorism	pat-toomey	Candidate for U.S. Senate	Pennsylvania	republican	3	2	2	1	0	
10209.json	true	Congress has 11 percent approval ratings, yet 96.4 percent of incumbent lawmakers were re-elected in 2014.	congress	facebook-posts	Social media posting		none	14	18	15	11	36	a meme on social media
2871.json	barely-true	Letting the Bush tax cuts expire would raise taxes on small businesses.	economy,small-business,taxes	eric-cantor	House Majority Leader	Virginia	republican	9	6	4	4	4	a TV interview.
5337.json	barely-true	Statistics bear out that any time a country, a state, makes more restrictive abortion laws ... fatalities go up and abortions actually increase.	abortion,government-regulation,women	nickie-antonio	State representative	Ohio	democrat	1	0	0	0	0	a news conference
2141.json	mostly-true	The presidents budget would take ... non-defense spending to its lowest level ... as a percentage of the economy since JFK.	economy,federal-budget,military	barack-obama	President	Illinois	democrat	70	71	160	163	9	remarks at a bill signing
8804.json	mostly-true	Of the approximately 6 million disenfranchised felons in the United States, one-quarter are Floridians.	crime,elections	desmond-meade		Florida	none	0	0	0	1	0	a "BloggingBlackMiami" blog post
375.json	pants-fire	Obama "basically threatened to bomb Pakistan."	foreign-policy	hillary-clinton	Presidential candidate	New York	democrat	40	29	69	76	7	a debate in Cleveland, Ohio.
2999.json	false	The Governor did not consult members of his own party before he released his [transportation] plan.	transportation	ward-armstrong	Minority leader, House of Delegates	Virginia	democrat	0	3	0	0	1	a letter.
3023.json	false	Ohio has lost more population than every other state in the country except for two.	economy	john-kasich	Governor of Ohio as of Jan. 10, 2011	Ohio	republican	9	8	10	18	3	a news conference
12332.json	mostly-true	Here in California, Donald Trump has given $12,000 to Jerry Brown, Gavin Newsom and Kamala Harris.	campaign-finance,elections	ted-cruz	Senator	Texas	republican	36	33	15	19	8	a speech at the California Republican Party Convention
2294.json	half-true	Gov. Rick Perry has overseen the highest Texas unemployment in 22 years.	economy	back-basics		Texas	democrat	0	2	1	1	0	a newspaper ad
10021.json	false	On support for the auto bailouts.	congress,transportation	terri-lynn-land	Republican candidate for U.S. Senate	Michigan	republican	0	0	0	0	0	a campaign statement to a local newspaper
9246.json	mostly-true	Ed Gillespies 2006 book promoted an individual health care mandate, and recommends that it be enforced by the IRS through the income tax code.	medicaid,taxes	democratic-party-virginia		Virginia	democrat	2	1	1	3	0	news release.
11971.json	barely-true	When Republican extremists tried to take away abortion rights Blake Rocap stopped them.	abortion,candidates-biography	blake-rocap	Lawyer	Texas	democrat	1	0	0	0	0	a voter mailer
6411.json	half-true	Says Obama refuses to recognize Jerusalem as the capital of Israel.	foreign-policy,israel,message-machine-2012	mitt-romney	Former governor	Massachusetts	republican	34	32	58	33	19	a campaign ad
12492.json	half-true	Says he helped to draft parts of the Dodd-Frank Wall Street reform bill.	congress,financial-regulation	tim-canova	Nova Southeastern University law professor	Florida	democrat	0	0	1	2	0	a post on Medium
11577.json	true	Says income tax rates under Eisenhower were as high as 90 percent.	taxes	bernie-s	U.S. Senator	Vermont	independent	18	12	22	41	0	a Democratic presidential debate in Des Moines, Iowa
12844.json	mostly-true	American homeownership rate in Q2 2016 was 62.9% - lowest rate in 51yrs.	economy,housing	donald-trump	President-Elect	New York	republican	63	114	51	37	61	a tweet
6835.json	half-true	Romneys Medicare plan was estimated to cost the average senior about $6,000 a year.	debates,medicare,retirement	barack-obama	President	Illinois	democrat	70	71	160	163	9	a debate in Denver
3622.json	true	If we had the same staffing ratio (of officers to residents) as Seattle, wed have 300 more officers in our department.	public-safety	michael-reese	Portland police chief	Oregon	none	0	0	0	0	0	a speech
13346.json	true	Department of Veterans Affairs doctors are prohibited from recommending medical marijuana.	marijuana	campaign-regulate-marijuana-alcohol		Arizona	none	0	0	1	0	0	a political advertisement
2308.json	mostly-true	When career politician Daniel Webster became speaker of the House, he wasted $32,000 of our money on a spiral staircase for his office.	candidates-biography,ethics,message-machine,state-budget,taxes	alan-grayson	U.S. House of Representatives	Florida	democrat	6	5	4	11	1	an ad.
12112.json	half-true	Texas had the highest level of turnout than ever before in the primary.	elections	greg-abbott	governor	Texas	republican	11	3	8	6	5	speaking to reporters
361.json	false	Says the difference between her and Barack Obama is "about 35 years of experience."	candidates-biography	hillary-clinton	Presidential candidate	New York	democrat	40	29	69	76	7	a campaign event in Robstown, Texas.
12946.json	mostly-true	22 veterans take their own lives each day.	veterans	kamala-harris	Attorney General	California	democrat	0	0	2	2	0	a tweet.
11576.json	half-true	The United States is the only major country on earth that doesnt guarantee health care to all people as a right, not a privilege.	health-care	bernie-s	U.S. Senator	Vermont	independent	18	12	22	41	0	a Democratic presidential debate in Des Moines, Iowa
10608.json	barely-true	Said former U.S. Ambassador to Kenya Scott Gration was forced to resign two years ago because of his personal use of emails.	ethics,transparency	david-shuster			none	1	0	0	0	0	a Hillary Clinton press conference
10936.json	half-true	Says Florida is a model for successful pretrial release programs.	crime,criminal-justice	john-oliver	Host, Last Week Tonight		none	0	0	2	4	0	a segment about bail on "Last Week Tonight"
6284.json	barely-true	If you have ever visited Nashville or Washington D.C. you will see MANY names and initials carved into ... desks.	government-efficiency	julia-hurley	State representative	Tennessee	republican	1	0	0	0	0	an email to constituents
6739.json	pants-fire	Redistribution has never been a characteristic of America.	economy,federal-budget,history,taxes	mitt-romney	Former governor	Massachusetts	republican	34	32	58	33	19	remarks in Atlanta
5127.json	false	Tampa is the strip club capital of the world.	economy,pop-culture	ellyn-bogdanoff	state representative	Florida 	republican	1	1	1	0	0	a hearing in Tallahassee
2827.json	pants-fire	Said they reached a power-sharing agreement with Republican Lt. Gov. Casey Cagle	elections	republican-state-senators			republican	0	0	0	0	1	Statements to reporters
8381.json	half-true	Says between 6 and 20 bicycles can be parked in the space required by one car.	transportation	earl-blumenauer	U.S. representative	Oregon	democrat	0	1	1	1	0	an article on his website.
10609.json	false	I unsealed my records at Marquette University.	candidates-biography,education,elections	scott-walker	Milwaukee County Executive	Wisconsin	republican	26	41	32	40	11	an interview
4166.json	true	Says that U.S. Rep. Allen West is a constituent of mine.	elections,redistricting	debbie-wasserman-schultz	U.S. Representative, Florida District 23	Florida	democrat	7	9	8	15	3	an interview on CNN
3461.json	false	The U.S. gives foreign aid to Cuba and Venezuela, even though those countries are our enemies.	federal-budget,foreign-policy	ted-poe	U.S. House Representative	Texas	republican	1	1	1	0	0	a House floor speech
4515.json	half-true	Says Texas wildfires are linked to climate change.	climate-change,environment	barack-obama	President	Illinois	democrat	70	71	160	163	9	a fundraising event in San Jose, Calif.
6916.json	false	if the Agreement goes into effect, the millions of Mexican citizens who will become eligible for Social Security benefits may have a far stronger claim to benefits and protection against cuts than U.S. citizens!	social-security	senior-citizens-league	advocacy group for senior citizens	Virginia	none	1	1	0	0	0	mailer
8720.json	pants-fire	Earlier this year, [John DePetro] was accused of sexually assaulting a female co-worker.	crime,legal-issues,pundits,unions,women	our-daughters-ri		Rhode Island	organization	0	0	0	0	1	an online petition
1186.json	pants-fire	Photo of "tea party" protests shows crowd sprawling from Capitol to Washington Monument	history	blog-posting			none	7	19	3	5	44	conservative blogs
12784.json	half-true	The approval of the United States was 20 points higher when (Hillary Clinton) left the secretary of states office than when she took it.	foreign-policy,job-accomplishments,polls	bill-clinton	former president	Arkansas	democrat	4	2	12	11	3	a speech at the Democratic National Convention in Philadelphia
6232.json	false	Every one of the 67 supervisors of elections in Florida refused to carry out the effort to remove noncitizens from the voter rolls.	elections,message-machine-2012	moveon			democrat	2	4	3	0	0	an email
97.json	mostly-true	"Bill Richardson is the only major Democratic candidate with a plan to withdraw all American troops from Iraq. All of the other major Democratic candidates support leaving American troops in Iraq indefinitely."	iraq	bill-richardson	Governor	New Mexico	democrat	1	2	3	8	1	
12294.json	true	I earned more votes in the state of Wisconsin than Donald Trump did in New York.	elections	ted-cruz	Senator	Texas	republican	36	33	15	19	8	remarks in Borden, Ind.
9464.json	half-true	There are 278 Republicans in Congress. (With Eric Cantors defeat), they are now all Christian and all white except for one black senator, who was appointed.	congress,diversity,religion	bill-maher	Host of Real Time with Bill Maher	California	independent	0	3	1	5	0	a "Real Time with Bill Maher" episode
3074.json	pants-fire	If the Stamp Farm wind turbine is built, the health risk of flicker impact created by shadows of blades of turbines poses real and significant health risks, particularly seizures.	energy,environment	laurence-ehrhardt	State Representative	Rhode Island	republican	0	0	0	0	1	a commentary in The Providence Journal
1889.json	false	"Gov. Crist's veto also clears the way for taxpayer funding of abortion in Florida."	abortion	marco-rubio	U.S. Senator	Florida	republican	33	24	32	35	5	a campaign press release
3050.json	true	Says she condemned violence at a campaign stop in Arizona in March.	elections	sarah-palin		Alaska	republican	9	19	9	6	6	a video statement on Facebook
11788.json	mostly-true	According to the most recent report, Wisconsins high school graduation rates are also up again -- to third best in the country.	children,education,states	scott-walker	Milwaukee County Executive	Wisconsin	republican	26	41	32	40	11	a speech
9440.json	mostly-true	In Iran in 1979, the extremists hijacked the broad-based popular revolution against the Shah and established a brutal theocracy.	foreign-policy,history	hillary-clinton	Presidential candidate	New York	democrat	40	29	69	76	7	her book, "Hard Choices"
7924.json	barely-true	On immigration reform, Marco Rubio all along has been saying, We have to have border security first and then he gets on Spanish TV, he ends up saying, No, no. That will never get in the way.	candidates-biography,immigration	dana-rohrabacher		California	republican	1	0	0	0	0	an interview on WND Radio
4828.json	false	Dem-controlled Ohio House voted to change the process, to create objective criteria, to modify the Constitution ... to take politics out of the efforts to draw legislative boundaries.	redistricting	armond-budish	Minority leader in the Ohio House of Representatives	Ohio	democrat	0	1	2	3	0	a news conference
10227.json	half-true	Over the last few years, weve put more people back to work than all the other advanced economies combined.	economy,jobs,labor,workers	barack-obama	President	Illinois	democrat	70	71	160	163	9	a press conference after the G20 summit
585.json	barely-true	Obama "voted against critical resources: no to individual body armor, no to helicopters, no to ammunition, no to aircraft."	military	republican-national-committee-republican			republican	6	6	11	5	2	a radio ad
4086.json	false	Says U.S. Sen. Sherrod Brown is responsible for over $14 trillion in debt.	deficit,federal-budget	jim-demint	President, Heritage Foundation	South Carolina	republican	4	4	0	0	1	a news release
2434.json	pants-fire	Under Tom Barretts leadership, violent crime in Milwaukee has decreased by over 20% -- to its lowest levels in more than 20 years.	crime,job-accomplishments	tom-barrett	Mayor of Milwaukee	Wisconsin	democrat	2	5	8	5	3	a statement on campaign web site
1868.json	pants-fire	Barack Obama appeared in the video for 'Whoomp! (There it is!)'	candidates-biography,job-accomplishments	blog-posting			none	7	19	3	5	44	a rumor widely discussed on the Internet.
10727.json	mostly-true	Florida has the most concealed weapon permits in the nation, nearly double that of the second state, which is Texas.	corrections-and-updates,guns	jeb-bush		Florida	republican	17	5	17	24	2	a speech to the NRA
